time stamp,Domain tested,percent http2,percent http1.1,percent connection error: 
2021-07-09 04:08:40,245,63.27%,97.96%,1.63%
2021-07-09 04:09:21,245,63.67%,97.96%,1.63%
2021-07-13 14:23:37,245,64.90%,98.78%,1.22%
2021-07-13 14:24:25,245,64.90%,98.37%,1.22%
2021-07-13 18:17:21,245,64.90%,99.18%,0.82%
2021-07-13 18:17:56,245,64.90%,99.18%,0.82%
2021-07-13 18:18:33,245,64.90%,99.18%,0.82%
2021-07-13 18:19:11,245,64.49%,98.78%,1.22%
2021-07-13 18:20:18,245,64.49%,99.18%,0.82%
2021-07-13 18:20:54,245,64.08%,99.18%,0.82%
2021-07-15 18:24:04,245,63.27%,98.37%,1.63%
2021-07-15 18:25:53,245,62.86%,99.18%,0.82%
2021-07-15 18:27:40,245,62.86%,99.18%,0.82%
2021-07-15 20:23:22,245,64.08%,99.18%,0.82%
2021-07-15 20:23:59,245,64.49%,99.18%,0.82%
2021-07-15 20:27:22,245,64.49%,99.18%,0.82%
2021-07-15 20:28:01,245,64.08%,99.18%,0.82%
2021-07-15 20:29:28,245,63.67%,98.78%,0.82%
2021-07-15 20:30:08,245,64.08%,99.18%,0.82%
2021-07-15 20:32:49,245,62.04%,98.37%,1.22%
2021-07-15 20:33:30,245,64.08%,99.18%,0.82%
2021-07-15 20:40:56,245,64.08%,98.78%,1.22%
2021-07-15 20:41:32,245,64.08%,99.18%,0.82%
2021-07-15 21:34:30,245,64.08%,98.37%,0.82%
2021-07-15 21:41:16,245,64.08%,99.18%,0.82%
2021-07-15 21:41:57,245,64.08%,98.37%,1.22%
2021-07-15 21:43:33,245,64.49%,98.78%,0.82%
2021-07-15 21:45:11,245,62.45%,98.78%,0.82%
2021-07-15 21:45:48,245,64.49%,99.18%,0.82%
2021-07-15 21:46:30,245,64.08%,99.18%,0.82%
2021-07-15 21:47:09,245,64.08%,98.78%,0.82%
2021-07-15 21:47:52,245,63.67%,99.18%,0.82%
2021-07-15 21:48:31,245,64.08%,99.18%,0.82%
2021-07-15 21:49:13,245,62.86%,98.78%,1.22%
2021-07-15 21:49:53,245,64.08%,98.78%,1.22%
2021-07-15 21:50:38,245,62.86%,98.78%,0.82%
2021-07-15 21:51:16,245,64.08%,98.78%,0.82%
2021-07-15 21:52:03,245,62.86%,98.78%,0.82%
2021-07-15 21:52:42,245,63.67%,98.78%,0.82%
2021-07-15 21:53:25,245,63.27%,98.78%,0.82%
2021-07-15 21:54:05,245,63.67%,99.18%,0.82%
2021-07-15 21:55:55,245,63.67%,98.78%,0.82%
2021-07-15 21:56:40,245,62.45%,98.78%,0.82%
2021-07-15 21:57:19,245,63.67%,98.78%,0.82%
2021-07-15 21:58:04,245,62.86%,97.96%,1.22%
2021-07-15 21:58:41,245,64.08%,99.18%,0.82%
2021-07-15 21:59:44,245,62.45%,98.37%,1.22%
2021-07-15 22:15:24,245,62.45%,99.18%,0.82%
2021-07-15 22:16:04,245,64.08%,98.78%,1.22%
2021-07-15 22:16:48,245,62.45%,99.18%,0.82%
2021-07-15 22:28:36,245,64.49%,99.18%,0.82%
2021-07-15 22:31:28,245,63.67%,98.78%,1.22%
2021-07-15 22:35:12,245,63.27%,97.55%,1.63%
2021-07-15 22:37:59,245,62.86%,97.96%,1.22%
2021-07-15 22:40:12,245,63.67%,98.78%,0.82%
2021-07-15 22:41:52,245,63.27%,98.78%,0.82%
2021-07-15 22:45:08,245,64.08%,99.18%,0.82%
2021-07-15 22:45:46,245,64.08%,98.78%,0.82%
2021-07-15 22:49:12,245,63.67%,99.18%,0.82%
2021-07-15 22:49:50,245,64.08%,98.78%,0.82%
2021-07-15 22:52:19,245,63.27%,98.78%,1.22%
2021-07-15 22:55:26,245,62.04%,98.37%,1.63%
2021-07-15 23:02:08,245,64.08%,98.78%,1.22%
2021-07-15 23:03:55,245,63.67%,99.18%,0.82%
2021-07-15 23:06:32,245,64.08%,98.78%,1.22%
2021-07-15 18:15:35,245,62.45%,97.55%,2.45%
2021-07-15 18:17:18,245,62.45%,97.14%,2.86%
2021-07-15 18:19:25,245,62.04%,95.92%,3.27%
2021-07-15 18:20:13,245,62.04%,97.14%,2.86%
2021-07-15 18:21:04,245,62.86%,97.96%,2.04%
2021-07-15 23:23:33,245,64.49%,98.78%,0.82%
2021-07-15 23:40:32,245,64.08%,98.78%,0.82%
2021-07-15 23:43:42,245,62.86%,98.78%,0.82%
2021-07-19 19:01:57,245,64.49%,99.18%,0.82%
2021-07-19 14:18:11,245,64.90%,98.37%,0.82%
2021-07-19 15:37:17,245,64.49%,98.78%,1.22%
2021-07-21 15:32:30,245,65.71%,99.18%,0.82%
2021-07-21 15:59:38,245,65.31%,98.37%,1.63%
